dispatching_base_number,date,active_vehicles,trips
B02512,2015-01-01,190,1132
B02765,2015-01-01,225,1765
B02764,2015-01-01,3427,29421
B02682,2015-01-01,945,7679
B02617,2015-01-01,1228,9537
B02598,2015-01-01,870,6903
B02598,2015-02-01,785,4768
B02617,2015-02-01,1137,7065
B02512,2015-02-01,175,875
B02682,2015-02-01,890,5506
B02765,2015-02-01,196,1001
B02764,2015-02-01,3147,19974
B02765,2015-03-01,201,1526
B02617,2015-03-01,1188,10664
B02598,2015-03-01,818,7432
B02682,2015-03-01,915,8010
B02512,2015-03-01,173,1088
B02764,2015-03-01,3215,29729
B02512,2015-04-01,147,791
B02682,2015-04-01,812,5621
B02598,2015-04-01,746,5223
B02765,2015-04-01,183,993
B02617,2015-04-01,1088,7729
B02764,2015-04-01,2862,20441
B02512,2015-05-01,194,984
B02682,2015-05-01,951,6012
B02617,2015-05-01,1218,7899
B02764,2015-05-01,3387,20926
B02598,2015-05-01,907,5798
B02765,2015-05-01,227,1133
B02764,2015-06-01,3473,25301
B02682,2015-06-01,1022,7491
B02617,2015-06-01,1336,10128
B02765,2015-06-01,234,1376
B02512,2015-06-01,218,1314
B02598,2015-06-01,933,6816
B02617,2015-07-01,1363,11528
B02682,2015-07-01,1039,9078
B02764,2015-07-01,3603,29949
B02765,2015-07-01,248,1704
B02512,2015-07-01,217,1446
B02598,2015-07-01,974,8397
B02765,2015-08-01,262,1911
B02598,2015-08-01,1070,10050
B02512,2015-08-01,238,1772
B02682,2015-08-01,1135,10416
B02764,2015-08-01,3831,33802
B02617,2015-08-01,1463,13462
B02617,2015-09-01,1455,13165
B02512,2015-09-01,224,1560
B02764,2015-09-01,3820,33517
B02682,2015-09-01,1140,10477
B02598,2015-09-01,1070,9538
B02765,2015-09-01,280,2039
B02682,2015-10-01,1057,11629
B02617,2015-10-01,1331,13856
B02598,2015-10-01,949,10287
B02512,2015-10-01,206,1646
B02764,2015-10-01,3558,38864
B02765,2015-10-01,245,2202
B02765,2015-11-01,220,1672
B02598,2015-11-01,832,7176
B02682,2015-11-01,943,8461
B02764,2015-11-01,3186,27681
B02617,2015-11-01,1228,10932
B02512,2015-11-01,162,1104
B02764,2015-12-01,3499,26852
B02765,2015-12-01,279,1711
B02512,2015-12-01,217,1399
B02598,2015-12-01,964,7915
B02682,2015-12-01,1082,9107
B02617,2015-12-01,1323,10662
B02765,2015-01-13,258,1697
B02598,2015-01-13,975,8713
B02617,2015-01-13,1342,11825
B02512,2015-01-13,234,1652
B02764,2015-01-13,3658,29983
B02682,2015-01-13,1092,9629
B02764,2015-01-14,3736,29550
B02765,2015-01-14,271,1600
B02598,2015-01-14,1030,8870
B02512,2015-01-14,233,1582
B02617,2015-01-14,1405,11965
B02682,2015-01-14,1174,9762
B02512,2015-01-15,237,1636
B02682,2015-01-15,1208,10391
B02617,2015-01-15,1457,12539
B02765,2015-01-15,270,1797
B02764,2015-01-15,3840,31214
B02598,2015-01-15,1068,9152
B02617,2015-01-16,1445,12977
B02765,2015-01-16,290,2082
B02764,2015-01-16,3975,34822
B02682,2015-01-16,1250,11280
B02512,2015-01-16,234,1481
B02598,2015-01-16,1079,9838
B02598,2015-01-17,974,9546
B02512,2015-01-17,201,1281
B02682,2015-01-17,1137,11382
B02765,2015-01-17,252,2160
B02617,2015-01-17,1306,12676
B02764,2015-01-17,3657,36318
B02512,2015-01-18,177,1521
B02598,2015-01-18,869,9443
B02765,2015-01-18,248,2287
B02764,2015-01-18,3290,35182
B02682,2015-01-18,1056,11161
B02617,2015-01-18,1223,12879
B02682,2015-01-19,883,7028
B02617,2015-01-19,992,7775
B02765,2015-01-19,238,1568
B02764,2015-01-19,2958,22750
B02512,2015-01-19,168,1025
B02598,2015-01-19,706,5609
B02598,2015-01-20,944,7206
B02682,2015-01-20,1151,8496
B02512,2015-01-20,221,1310
B02764,2015-01-20,3654,26137
B02765,2015-01-20,272,1608
B02617,2015-01-20,1350,10015
B02764,2015-01-21,3718,27344
B02512,2015-01-21,242,1519
B02682,2015-01-21,1228,9472
B02598,2015-01-21,1035,8041
B02765,2015-01-21,296,1774
B02617,2015-01-21,1429,10997
